Reading Num, ADC value
0,0992
1,0992
2,0990
3,0990
4,0991
5,0992
6,0990
7,0990
8,0991
9,0991
10,0990
11,0990
12,0991
13,0990
14,0989
15,0988
16,0989
17,0989
18,0988
19,0988
20,0988
21,0988
22,0986
23,0985
24,0985
25,0985
26,0983
27,0982
28,0982
29,0980
30,0978
31,0976
32,0975
33,0975
34,0972
35,0969
36,0967
37,0966
38,0962
39,0959
40,0958
41,0956
42,0953
43,0951
44,0951
45,0949
46,0948
47,0947
48,0947
49,0945
50,0947
51,0947
52,0948
53,0946
54,0950
55,0951
56,0953
57,0952
58,0957
59,0959
60,0961
61,0962
62,0964
63,0966
64,0968
65,0969
66,0971
67,0972
68,0975
69,0977
70,0978
71,0979
72,0982
73,0984
74,0984
75,0984
76,0987
77,0987
78,0987
79,0987
80,0988
81,0988
82,0989
83,0988
84,0990
85,0990
86,0990
87,0990
88,0991
89,0991
90,0990
91,0990
92,0991
93,0991
94,0991
95,0990
96,0991
97,0992
98,0991
99,0990
100,0992
101,0992
102,0991
103,0991
104,0992
105,0992
106,0992
107,0991
108,0991
109,0992
110,0991
111,0991
112,0989
113,0992
114,0992
115,0991
116,0988
117,0992
118,0992
119,0991
120,0990
121,0992
122,0992
123,0991
124,0991
125,0992
126,0992
127,0991
128,0991
129,0992
130,0992
131,0991
132,0991
133,0992
134,0991
135,0991
136,0991
137,0992
138,0991
139,0990
140,0991
141,0992
142,0991
143,0990
144,0991
145,0991
146,0991
147,0990
148,0991
149,0991
150,0990
151,0989
152,0990
153,0991
154,0990
155,0990
156,0990
157,0991
158,0990
159,0989
160,0990
161,0991
162,0990
163,0989
164,0990
